"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"IDE","Voya Infrastructure, Industrials and Materials Fund","12.48","247166400","n/a","United States","2010","n/a","n/a","http://www.nasdaq.com/symbol/ide",
"IID","Voya International High Dividend Equity Income Fund","6.57","55192434.75","n/a","United States","2007","n/a","n/a","http://www.nasdaq.com/symbol/iid",
"IRR","Voya Natural Resources Equity Income Fund","6.15","140011195.2","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/irr",
"PPR","Voya Prime Rate Trust","5.08","750761414.4","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ppr",
"VRNG","Vringo, Inc.","0.6001","59636587.1749","n/a","United States","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/vrng",
"VSEC","VSE Corporation","41.65","223863043.95","n/a","United States","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsec",
"VTVT","vTv Therapeutics Inc.","9.08","297937500","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtvt",
"VMC","Vulcan Materials Company","99.84","13297327280.64","n/a","United States","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/vmc",
"VUZI","Vuzix Corporation","4.77","76469940.18","n/a","United States","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vuzi",
"VWR","VWR Corporation","25.98","3412699026","n/a","United States","2014","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/vwr",
"WTI","W&T Offshore, Inc.","3.07","233352400.78","n/a","United States","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wti",
"WPC","W.P. Carey Inc.","57.04","5954871787.92","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wpc",
"WRB","W.R. Berkley Corporation","53.97","6658068039.21","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wrb",
"WRB^B","W.R. Berkley Corporation","24.39","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^b",
"GRA","W.R. Grace & Co.","96.73","6996984089.46","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gra",
"GWW","W.W. Grainger, Inc.","218.14","14391816385.18","n/a","United States","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/gww",
"WNC","Wabash National Corporation","11.4","759056950.2","n/a","United States","1991","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","113.78","6592669660.12","n/a","United States","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wbc",
"WDR","Waddell & Reed Financial, Inc.","37.01","3099207333.28","n/a","United States","1998","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/wdr",
